,precision,recall,f1-score,support
Septoria_Glycines,0.8974358974358975,0.5303030303030303,0.6666666666666666,66.0
bacterial_blight,0.7884615384615384,0.6212121212121212,0.6949152542372882,66.0
cercospora_leaf_blight,0.8405797101449275,0.8787878787878788,0.8592592592592593,66.0
downey_mildew,0.8024691358024691,0.9848484848484849,0.8843537414965986,66.0
frogeye,0.7916666666666666,0.8636363636363636,0.8260869565217391,66.0
healthy,1.0,0.696969696969697,0.8214285714285714,66.0
potassium_deficiency,0.9552238805970149,0.9696969696969697,0.9624060150375939,66.0
soybean_rust,0.8524590163934426,0.7878787878787878,0.8188976377952756,66.0
target_spot,0.6074766355140186,0.9848484848484849,0.7514450867052023,66.0
accuracy,0.8131313131313131,0.8131313131313131,0.8131313131313131,0.8131313131313131
macro avg,0.8373080534462195,0.8131313131313131,0.8094954654609104,594.0
weighted avg,0.8373080534462195,0.8131313131313131,0.8094954654609106,594.0
