,precision,recall,f1-score,support
Septoria_Glycines,0.96,0.7272727272727273,0.8275862068965517,66.0
bacterial_blight,0.7631578947368421,0.8787878787878788,0.8169014084507042,66.0
cercospora_leaf_blight,0.984375,0.9545454545454546,0.9692307692307692,66.0
downey_mildew,0.868421052631579,1.0,0.9295774647887324,66.0
frogeye,0.875,0.9545454545454546,0.9130434782608695,66.0
healthy,1.0,0.803030303030303,0.8907563025210085,66.0
potassium_deficiency,1.0,1.0,1.0,66.0
soybean_rust,0.9622641509433962,0.7727272727272727,0.8571428571428571,66.0
target_spot,0.7738095238095238,0.9848484848484849,0.8666666666666667,66.0
accuracy,0.8973063973063973,0.8973063973063973,0.8973063973063973,0.8973063973063973
macro avg,0.9096697357912602,0.8973063973063974,0.8967672393286844,594.0
weighted avg,0.9096697357912601,0.8973063973063973,0.8967672393286844,594.0
