,precision,recall,f1-score,support
Septoria_Glycines,0.9180327868852459,0.8484848484848485,0.8818897637795275,66.0
bacterial_blight,0.7758620689655172,0.6818181818181818,0.7258064516129032,66.0
cercospora_leaf_blight,0.9402985074626866,0.9545454545454546,0.9473684210526315,66.0
downey_mildew,0.9264705882352942,0.9545454545454546,0.9402985074626866,66.0
frogeye,0.9253731343283582,0.9393939393939394,0.9323308270676691,66.0
healthy,0.921875,0.8939393939393939,0.9076923076923077,66.0
potassium_deficiency,0.9565217391304348,1.0,0.9777777777777777,66.0
soybean_rust,0.7887323943661971,0.8484848484848485,0.8175182481751825,66.0
target_spot,0.8840579710144928,0.9242424242424242,0.9037037037037037,66.0
accuracy,0.8939393939393939,0.8939393939393939,0.8939393939393939,0.8939393939393939
macro avg,0.8930249100431362,0.8939393939393939,0.8927095564804878,594.0
weighted avg,0.8930249100431363,0.8939393939393939,0.8927095564804879,594.0
