,precision,recall,f1-score,support
Septoria_Glycines,0.9464285714285714,0.803030303030303,0.8688524590163934,66.0
bacterial_blight,0.8035714285714286,0.6818181818181818,0.7377049180327869,66.0
cercospora_leaf_blight,0.9402985074626866,0.9545454545454546,0.9473684210526315,66.0
downey_mildew,0.8732394366197183,0.9393939393939394,0.9051094890510949,66.0
frogeye,0.9253731343283582,0.9393939393939394,0.9323308270676691,66.0
healthy,0.9230769230769231,0.9090909090909091,0.916030534351145,66.0
potassium_deficiency,0.9420289855072463,0.9848484848484849,0.9629629629629629,66.0
soybean_rust,0.7733333333333333,0.8787878787878788,0.8226950354609929,66.0
target_spot,0.8823529411764706,0.9090909090909091,0.8955223880597015,66.0
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
macro avg,0.8899670290560818,0.8888888888888888,0.8876196705617088,594.0
weighted avg,0.8899670290560818,0.8888888888888888,0.8876196705617087,594.0
